DATE,CSCICP03FRM665S
1979-01-01,101.552604150724
1979-02-01,101.309514799865
1979-03-01,101.148231310931
1979-04-01,100.972483854736
1979-05-01,100.813513732463
1979-06-01,100.730177680024
1979-07-01,100.692274838487
1979-08-01,100.663882806515
1979-09-01,100.641260481903
1979-10-01,100.68124009355
1979-11-01,100.648206374228
1979-12-01,100.449760100779
1980-01-01,100.069751813432
1980-02-01,99.7667280892614
1980-03-01,99.6270103739934
1980-04-01,99.5920755543405
1980-05-01,99.5982736732667
1980-06-01,99.6117627496414
1980-07-01,99.6223106593124
1980-08-01,99.6298060587316
1980-09-01,99.6337104752841
1980-10-01,99.6255629078688
1980-11-01,99.5850754103458
1980-12-01,99.4882806589522
1981-01-01,99.3480194498244
1981-02-01,99.3107354503925
1981-03-01,99.5210932566641
1981-04-01,99.8836192408132
1981-05-01,100.127986896752
1981-06-01,100.27342031151
1981-07-01,100.384326509301
1981-08-01,100.424862036756
1981-09-01,100.423669916984
1981-10-01,100.433344122113
1981-11-01,100.531621693061
1981-12-01,100.81170853441
1982-01-01,101.284001843456
1982-02-01,101.59600326886
1982-03-01,101.662598208976
1982-04-01,101.629697538293
1982-05-01,101.53199951547
1982-06-01,101.325890454022
1982-07-01,100.987142745143
1982-08-01,100.717023919156
1982-09-01,100.454114898857
1982-10-01,100.144428825508
1982-11-01,100.004320079131
1982-12-01,100.003240896327
1983-01-01,100.003850116659
1983-02-01,99.7630923654485
1983-03-01,99.2072319852898
1983-04-01,98.3969676354184
1983-05-01,97.8076495200251
1983-06-01,97.4856848270677
1983-07-01,97.3622126918213
1983-08-01,97.2994257379921
1983-09-01,97.2140422129638
1983-10-01,97.1400929416271
1983-11-01,97.0386616995643
1983-12-01,96.8718344843859
1984-01-01,96.704130757794
1984-02-01,96.5936875089166
1984-03-01,96.4843198290568
1984-04-01,96.3159641605699
1984-05-01,96.1340459767232
1984-06-01,95.9821922983398
1984-07-01,95.8085067258017
1984-08-01,95.6174231174334
1984-09-01,95.3677480101965
1984-10-01,95.1637442280579
1984-11-01,95.229162837384
1984-12-01,95.835603777235
1985-01-01,96.9614540981965
1985-02-01,97.6854470225276
1985-03-01,98.0101933479237
1985-04-01,98.1381885231852
1985-05-01,97.9816804317151
1985-06-01,97.6135248351287
1985-07-01,97.1480503128807
1985-08-01,97.1367781740353
1985-09-01,97.7383741658508
1985-10-01,98.8677421885471
1985-11-01,99.6771212490425
1985-12-01,100.183148956691
1986-01-01,100.567739723525
1986-02-01,100.672057056604
1986-03-01,100.521545192269
1986-04-01,100.221611763057
1986-05-01,99.9427537709347
1986-06-01,99.7518976583759
1986-07-01,99.8361286701135
1986-08-01,100.004439086092
1986-09-01,100.154783513414
1986-10-01,100.216025731103
1986-11-01,100.135415838699
1986-12-01,99.9551696144921
1987-01-01,99.7001282016399
1987-02-01,99.5028757020006
